I,K,gap,accurate,i_gap,i_acc,i_percent,gap1,accurate1,i_gap1,i_acc1,i_percent1,gap2,accurate2,i_gap2,i_acc2,i_percent2
20,4,0,5,0,5,0.320868,0,5,0,5,0.361063,0,5,0,5,0.299251,
20,6,0.00782229,5,0,5,0.285641,0.0156122,5,5.31686e-17,5,0.286619,0.00312043,5,0,5,0.280374,
20,8,0.0775307,3,0.000954723,5,0.253945,0.110799,1,0,5,0.25153,0.0631283,3,0.00154893,5,0.245106,
20,10,0.0328276,3,0.00439553,5,0.1969,0.0455449,5,-9.30094e-17,5,0.197394,0.0225633,5,0.00775851,3,0.191428,
20,12,0.134534,2,0.0156872,5,0.237271,0.130952,3,-1.89516e-16,5,0.181456,0.138058,3,0.033882,3,0.290203,
20,14,0.116359,2,0.0246833,3,0.154812,0.127968,2,0.0221555,5,0.131009,0.105746,5,0.0278583,3,0.17371,
20,16,0.126889,3,0.0679261,3,0.080556,0.118929,3,0.0219465,3,0.0282181,0.138619,3,0.127223,3,0.13696,
40,4,0,5,0,5,0.235923,0,5,0,5,0.235975,0,5,0,5,0.221544,
40,6,0,5,0,5,0.329444,0,5,-2.69081e-17,5,0.332164,0,5,0,5,0.324725,
40,8,0.0731723,5,0.0144197,5,0.145795,0.140855,3,0.00374677,5,0.165301,0.0286581,5,0.0215458,5,0.12743,
40,10,0.0426774,5,0.00832395,5,0.216865,0.0712714,3,-6.63891e-17,5,0.235957,0.0202199,5,0.01505,3,0.202298,
40,12,0.116506,3,0.0128416,5,0.133845,0.147921,5,0.0144444,5,0.0760263,0.0911516,3,0.0120805,5,0.181042,
40,14,0.11466,2,0.0270707,5,0.157554,0.155393,3,0.014122,5,0.123463,0.076783,3,0.0413038,5,0.185209,
40,16,0.1091,3,0.0881494,3,0.121507,0.140902,3,0.0436069,3,0.087132,0.0770529,1,0.137603,2,0.153023,
60,4,0,5,0,5,0.174899,0,5,0,5,0.136001,0,5,0,5,0.186205,
60,6,0,5,0,5,0.276968,0,5,0,5,0.297949,0,5,0,5,0.253518,
60,8,0.0755435,3,0.00692642,5,0.141075,0.125265,5,0,5,0.16593,0.0400408,3,0.0122618,5,0.120689,
60,10,0.0854968,5,0.00883868,5,0.169166,0.158131,5,0.0083684,5,0.188778,0.0232737,5,0.00907423,5,0.151906,
60,12,0.109315,3,0.0208348,5,0.131909,0.148881,3,0.00529071,5,0.15476,0.0721215,3,0.0351263,5,0.109225,
60,14,0.124834,3,0.0376102,3,0.107411,0.135881,1,0.0318353,5,0.104031,0.123975,2,0.0451558,3,0.107035,
60,16,0.0804759,5,0.0535316,5,0.145586,0.132093,3,0.0176857,5,0.0966061,0.0357214,3,0.0915969,5,0.196578,
80,4,0,5,0,5,0.275258,0,5,0,5,0.413536,0,5,0,5,0.189337,
80,6,0.0118697,5,0,5,0.198262,0.0185542,5,0,5,0.212536,0.00871139,5,0,5,0.179718,
80,8,0.0273019,5,0,5,0.280501,0.00821187,5,0,5,0.281554,0.0424907,5,0,5,0.268711,
80,10,0.0495728,5,0.0175329,3,0.197052,0.0763198,2,-2.97391e-16,5,0.228951,0.0338896,5,0.0312961,5,0.159965,
80,12,0.0978984,5,0.017802,3,0.174577,0.166258,3,0.00190445,5,0.145473,0.0438199,3,0.0326071,3,0.192002,
80,14,0.130911,2,0.0350973,3,0.0822578,0.157551,0,0.0149321,1,0.0392622,0.112293,1,0.0561827,5,0.124597,
80,16,0.0974283,1,0.0627598,2,0.135105,0.107036,1,0.0289578,1,0.0866298,0.0880641,1,0.0984015,3,0.182075,
100,4,0,5,0,5,0.165608,0,5,0,5,0.253816,0,5,0,5,0.0966863,
100,6,0,5,0,5,0.29807,0,5,0,5,0.283438,0,5,0,5,0.303172,
100,8,0.0346702,5,0,5,0.281452,0.0219086,3,0,5,0.273126,0.0452923,3,0,5,0.288449,
100,10,0.0717111,3,-7.13006e-17,5,0.192523,0.0423566,2,-1.64751e-16,5,0.214618,0.0987653,3,1.30098e-18,5,0.171093,
100,12,0.107237,2,0.0149069,5,0.237748,0.160331,3,0.00161165,5,0.191265,0.0624554,5,0.0272921,3,0.282744,
100,14,0.141453,3,0.0364798,5,0.182045,0.183486,5,0.00427195,5,0.137459,0.106909,3,0.073982,3,0.218027,
100,16,0.0945924,5,0.0640066,5,0.0869186,0.144726,5,0.0583585,3,0.0557567,0.0498891,2,0.0709764,3,0.11359,
