I,K,best_min,best_max,best_ave,worst_min,worst_max,worst_ave,gap_ave
20,4,0,0,0,0,0,0,0
40,4,0,0,0,0,0,0,0
60,4,0,0,0,0,0,0,0
80,4,0,0,0,0,0,0,0
100,4,0,0,0,0,0,0,0
20,6,0,0,0,0,0,0,0
40,6,0,0,0,0,0,0,0
60,6,0,0,0,0,0,0,0
80,6,0,0,0,0,0,0,0
100,6,0,0,0,0,0,0,0
20,8,0,0,0,0,0,0,0
40,8,0,0,0,0,0,0,0
60,8,0,0,0,0,0,0,0.0176215
80,8,0,0,0,0,0,0,0
100,8,0,0,0,0,0,0,0
20,10,0,0,0,0,0,0,0.0330348
40,10,0,0,0,0,0,0,0.0343708
60,10,0,0,0,0,0,0,0.0241961
80,10,0,0,0,0,0,0,0.0318412
100,10,0,0,0,0,0,0,0.029491
20,12,0,0,0,0,0,0,0.0197551
40,12,0,0,0,0,0,0,0.037147
60,12,0,0,0,0,0,0,0.0204083
80,12,0,0,0,0,0,0,0.0330334
100,12,0,0,0,0,0,0,0.0244252
20,14,0,0,0,0,0,0,0.0196553
40,14,0,0,0,0,0,0,0.0250449
60,14,0,0,0,0,0,0,0.02155
80,14,0,0,0,0,0,0,0.0119858
100,14,0,0,0,0,0,0,0.0169414
20,16,0,0,0,0,0,0,0.0210356
40,16,0,0,0,0,0,0,0.0167197
60,16,0,0,0,0,0,0,0.0259184
